エリア,対象分類,2月1日,2月2日,2月3日,2月4日,2月5日,2月6日,2月7日,2月8日,2月9日,2月10日,2月11日,2月12日,2月13日,2月14日,2月15日,2月16日,2月17日,2月18日,2月19日,2月20日,2月21日,2月22日,2月23日,2月24日,2月25日,2月26日,2月27日,2月28日,2月29日,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
東京23区全体,全体,10485000,10164000,11676000,11687000,11659000,11690000,11691000,10471000,10149000,11523000,10287000,11671000,11686000,11716000,10492000,10107000,11677000,11666000,11642000,11677000,11672000,10447000,10164000,10215000,11673000,11645000,11628000,11621000,10320000,10019000,11562000,11549000,11488000,11519000,11513000,10289000,9958000,11535000,11503000,11474000,11503000,11506000,10251000,10047000,11563000,11546000,11530000,11554000,10314000,10329000,10096000,11565000,11553000,11539000,11533000,11406000,10081000,9742000,11393000,11388000,11288000,11263000,11256000,10021000,9737000,11212000,11104000,10859000
東京23区全体,住人,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8921000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8924000,8924000,8924000,8924000,8924000,8924000,8924000,8924000
東京23区全体,来訪者,1564000,1243000,2755000,2766000,2738000,2769000,2770000,1550000,1228000,2602000,1366000,2750000,2765000,2795000,1571000,1186000,2756000,2745000,2721000,2756000,2751000,1526000,1243000,1294000,2752000,2724000,2707000,2700000,1399000,1070000,2613000,2600000,2539000,2570000,2564000,1340000,1009000,2586000,2554000,2525000,2554000,2557000,1302000,1098000,2614000,2597000,2581000,2605000,1365000,1380000,1147000,2616000,2604000,2590000,2584000,2457000,1132000,793000,2444000,2439000,2364000,2339000,2332000,1097000,813000,2288000,2180000,1935000
千代田区,全体,454900,356900,1028900,1039900,1031900,1043900,1041900,453900,356900,958900,399900,1034900,1041900,1049900,458900,336900,1023900,1024900,1014900,1024900,1022900,433900,345900,353900,1011900,1003900,991900,986900,383900,288000,945000,939000,915000,923000,921000,364000,269000,928000,920000,914000,918000,921000,356000,296000,946000,945000,940000,949000,381000,376000,311000,948000,946000,941000,934000,872000,284000,196000,857000,855000,819500,802500,791500,266500,195500,775500,731500,624500
千代田区,住人,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,54900,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,55500,55500,55500,55500,55500,55500,55500,55500
千代田区,来訪者,400000,302000,974000,985000,977000,989000,987000,399000,302000,904000,345000,980000,987000,995000,404000,282000,969000,970000,960000,970000,968000,379000,291000,299000,957000,949000,937000,932000,329000,232000,889000,883000,859000,867000,865000,308000,213000,872000,864000,858000,862000,865000,300000,240000,890000,889000,884000,893000,325000,320000,255000,892000,890000,885000,878000,816000,228000,140000,801000,799000,764000,747000,736000,211000,140000,720000,676000,569000
中央区,全体,441000,367000,849000,857000,852000,861000,863000,440000,370000,793000,394000,853000,863000,868000,444000,356000,848000,849000,838000,847000,849000,430000,364000,371000,841000,835000,825000,820000,393000,321000,791000,788000,768000,774000,777000,380000,311000,782000,777000,768000,776000,776000,375000,327000,790000,790000,789000,796000,385000,387000,338000,794000,794000,790000,787000,741000,322000,260000,733000,728000,701000,691000,684000,307000,256000,675000,641000,563000
中央区,住人,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,151000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,152000,152000,152000,152000,152000,152000,152000,152000
中央区,来訪者,290000,216000,698000,706000,701000,710000,712000,289000,219000,642000,243000,702000,712000,717000,293000,205000,697000,698000,687000,696000,698000,279000,213000,220000,690000,684000,674000,669000,242000,168000,638000,635000,615000,621000,624000,227000,158000,629000,624000,615000,623000,623000,222000,174000,637000,637000,636000,643000,232000,234000,185000,641000,641000,637000,634000,588000,169000,107000,580000,575000,549000,539000,532000,155000,104000,523000,489000,411000
港区,全体,615000,517000,1120000,1135000,1126000,1140000,1139000,614000,514000,1050000,556000,1128000,1139000,1144000,617000,498000,1119000,1122000,1111000,1118000,1120000,593000,511000,523000,1109000,1110000,1094000,1086000,549000,459000,1046000,1042000,1026000,1030000,1026000,535000,444000,1032000,1032000,1023000,1028000,1025000,528000,468000,1047000,1047000,1045000,1051000,549000,544000,479000,1048000,1050000,1047000,1037000,970000,464000,380000,957000,953000,925000,908000,899000,447000,378000,878000,835000,747000
