エリア,対象分類,3月1日,3月2日,3月3日,3月4日,3月5日,3月6日,3月7日,3月8日,3月9日,3月10日,3月11日,3月12日,3月13日,3月14日,3月15日,3月16日,3月17日,3月18日,3月19日,3月20日,3月21日,3月22日,3月23日,3月24日,3月25日,3月26日,3月27日,3月28日,3月29日,3月30日,3月31日
東京23区全体,全体,10019000,11562000,11549000,11488000,11519000,11513000,10289000,9958000,11535000,11503000,11474000,11503000,11506000,10251000,10047000,11563000,11546000,11530000,11554000,10314000,10329000,10096000,11565000,11553000,11539000,11533000,11406000,10081000,9742000,11393000,11388000
,住人,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000,8949000
,来訪者,1070000,2613000,2600000,2539000,2570000,2564000,1340000,1009000,2586000,2554000,2525000,2554000,2557000,1302000,1098000,2614000,2597000,2581000,2605000,1365000,1380000,1147000,2616000,2604000,2590000,2584000,2457000,1132000,793000,2444000,2439000
千代田区,全体,288000,945000,939000,915000,923000,921000,364000,269000,928000,920000,914000,918000,921000,356000,296000,946000,945000,940000,949000,381000,376000,311000,948000,946000,941000,934000,872000,284000,196000,857000,855000
,住人,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000,56000
,来訪者,232000,889000,883000,859000,867000,865000,308000,213000,872000,864000,858000,862000,865000,300000,240000,890000,889000,884000,893000,325000,320000,255000,892000,890000,885000,878000,816000,228000,140000,801000,799000
中央区,全体,321000,791000,788000,768000,774000,777000,380000,311000,782000,777000,768000,776000,776000,375000,327000,790000,790000,789000,796000,385000,387000,338000,794000,794000,790000,787000,741000,322000,260000,733000,728000
,住人,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000,153000
,来訪者,168000,638000,635000,615000,621000,624000,227000,158000,629000,624000,615000,623000,623000,222000,174000,637000,637000,636000,643000,232000,234000,185000,641000,641000,637000,634000,588000,169000,107000,580000,575000
港区,全体,459000,1046000,1042000,1026000,1030000,1026000,535000,444000,1032000,1032000,1023000,1028000,1025000,528000,468000,1047000,1047000,1045000,1051000,549000,544000,479000,1048000,1050000,1047000,1037000,970000,464000,380000,957000,953000
