エリア,対象分類,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日
東京23区全体,全体,11288000,11263000,11256000,10021000,9737000,11212000,11104000,10859000
,住人,8924000,8924000,8924000,8924000,8924000,8924000,8924000,8924000
,来訪者,2364000,2339000,2332000,1097000,813000,2288000,2180000,1935000
千代田区,全体,819500,802500,791500,266500,195500,775500,731500,624500
,住人,55500,55500,55500,55500,55500,55500,55500,55500
,来訪者,764000,747000,736000,211000,140000,720000,676000,569000
中央区,全体,701000,691000,684000,307000,256000,675000,641000,563000
,住人,152000,152000,152000,152000,152000,152000,152000,152000
,来訪者,549000,539000,532000,155000,104000,523000,489000,411000
港区,全体,925000,908000,899000,447000,378000,878000,835000,747000
,住人,239000,239000,239000,239000,239000,239000,239000,239000
,来訪者,686000,669000,660000,208000,139000,639000,596000,508000
新宿区,全体,863000,858000,854000,545000,484000,839000,816000,754000
,住人,327000,327000,327000,327000,327000,327000,327000,327000
,来訪者,536000,531000,527000,218000,157000,512000,489000,427000
文京区,全体,521000,519000,521000,344000,308200,514000,498000,465000
,住人,212000,212000,212000,212000,212000,212000,212000,212000
,来訪者,309000,307000,309000,132000,96200,302000,286000,253000
台東区,全体,433000,433000,434000,299000,268600,428000,416000,390000
,住人,190000,190000,190000,190000,190000,190000,190000,190000
,来訪者,243000,243000,244000,109000,78600,238000,226000,200000
墨田区,全体,437000,439000,440000,357900,333700,435000,428000,412000
,住人,262000,262000,262000,262000,262000,262000,262000,262000
,来訪者,175000,177000,178000,95900,71700,173000,166000,150000
江東区,全体,806000,809000,808000,639000,596500,802000,789000,758000
,住人,501000,501000,501000,501000,501000,501000,501000,501000
,来訪者,305000,308000,307000,138000,95500,301000,288000,257000
品川区,全体,681000,677000,675000,506000,474800,667000,652000,619000
,住人,380000,380000,380000,380000,380000,380000,380000,380000
,来訪者,301000,297000,295000,126000,94800,287000,272000,239000
目黒区,全体,452000,457000,458000,375000,349400,451000,441000,425000
,住人,269000,269000,269000,269000,269000,269000,269000,269000
,来訪者,183000,188000,189000,106000,80400,182000,172000,156000
大田区,全体,953000,956000,957000,852000,816000,951000,941000,920000
,住人,707000,707000,707000,707000,707000,707000,707000,707000
,来訪者,246000,249000,250000,145000,109000,244000,234000,213000
世田谷区,全体,1136000,1144000,1149000,1054000,1014000,1138000,1131000,1111000
,住人,881000,881000,881000,881000,881000,881000,881000,881000
,来訪者,255000,263000,268000,173000,133000,257000,250000,230000
渋谷区,全体,620000,618000,618000,390000,341000,604000,583000,531000
,住人,214000,214000,214000,214000,214000,214000,214000,214000
,来訪者,406000,404000,404000,176000,127000,390000,369000,317000
中野区,全体,506000,510000,510000,438000,415600,507000,499000,482000
,住人,321000,321000,321000,321000,321000,321000,321000,321000
,来訪者,185000,189000,189000,117000,94600,186000,178000,161000
杉並区,全体,721000,726000,729000,673000,649400,725000,719000,706000
,住人,551000,551000,551000,551000,551000,551000,551000,551000
,来訪者,170000,175000,178000,122000,98400,174000,168000,155000
豊島区,全体,531000,532000,533000,414000,382000,527000,518000,492000
,住人,277000,277000,277000,277000,277000,277000,277000,277000
,来訪者,254000,255000,256000,137000,105000,250000,241000,215000
北区,全体,517000,519000,521000,458000,434200,518000,512000,502000
,住人,341000,341000,341000,341000,341000,341000,341000,341000
,来訪者,176000,178000,180000,117000,93200,177000,171000,161000
荒川区,全体,346000,347000,349000,293200,275800,345000,340000,330000
,住人,210000,210000,210000,210000,210000,210000,210000,210000
,来訪者,136000,137000,139000,83200,65800,135000,130000,120000
板橋区,全体,709000,711000,714000,664000,638800,711000,706000,697000
,住人,551000,551000,551000,551000,551000,551000,551000,551000
,来訪者,158000,160000,163000,113000,87800,160000,155000,146000
練馬区,全体,856000,861000,863000,829000,809000,861000,856000,849000
,住人,712000,712000,712000,712000,712000,712000,712000,712000
,来訪者,144000,149000,151000,117000,97000,149000,144000,137000
足立区,全体,857000,861000,864000,806000,777000,859000,853000,842000
,住人,671000,671000,671000,671000,671000,671000,671000,671000
,来訪者,186000,190000,193000,135000,106000,188000,182000,171000
葛飾区,全体,583000,586000,589000,547800,527800,586000,579000,572000
,住人,451000,451000,451000,451000,451000,451000,451000,451000
,来訪者,132000,135000,138000,96800,76800,135000,128000,121000
江戸川区,全体,839000,842000,844000,793000,770700,841000,836000,829000
,住人,679000,679000,679000,679000,679000,679000,679000,679000
,来訪者,160000,163000,165000,114000,91700,162000,157000,150000
